,順位,ゼッケン,氏名,所属,吉見 21.4km,手島 32.7km,玉淀 52.2km,唐子 72.6km,川越 91.7km,成願寺 128.6km,浅草橋 146.5km,おしなり 159.4km,舟渡 181.3km,秋ヶ瀬 193.1km,ゴール 207.5km,ペース(分/㎞)
0,1,2073,大高　圭太,クラブR２東日本,01:54:22(6位),02:58:24(3位),04:40:38(4位),06:40:47(4位),08:28:07(3位),12:47:43(1位),15:02:36(1位),16:50:40(1位),19:40:58(1位),21:12:04(1位),22:56:11(1位),06:37.93
1,2,2017,荒井　秀次,エビトラAC,01:50:59(3位),02:53:06(2位),04:37:30(3位),06:36:08(3位),08:30:10(4位),13:03:40(3位),15:13:14(2位),16:50:47(2位),20:18:20(2位),22:06:58(3位),23:49:53(2位),06:53.46
2,3,2328,袴田　訓史,,01:57:24(12位),03:04:53(10位),04:48:45(7位),,05:00:33(1位),13:19:25(5位),15:53:25(4位),17:39:11(4位),20:37:50(3位),22:04:46(2位),23:54:40(3位),06:54.84
3,4,2342,林部　規男,多摩川サブ３会,01:54:53(7位),03:02:39(7位),04:49:12(8位),06:53:29(7位),08:50:16(5位),13:13:35(4位),15:42:53(3位),17:28:55(3位),20:38:09(4位),22:14:55(4位),24:09:03(4位),06:59.00
4,5,2141,窪田　淳,凹田ガス,02:06:49(34位),03:21:10(33位),05:19:08(28位),07:38:18(24位),09:47:59(19位),14:28:38(12位),16:44:29(8位),18:27:20(6位),21:22:04(5位),22:49:07(5位),24:33:44(5位),07:06.14
5,6,2058,薄井　猛生,宇都宮トレラン愛好家の集い,02:09:00(40位),03:23:04(35位),05:20:44(32位),07:39:53(25位),09:51:10(22位),14:30:05(13位),17:08:14(11位),19:01:20(11位),21:47:20(7位),23:08:29(6位),24:53:52(6位),07:11.96
6,7,2419,向山　由美子,麺屋こころ大船,02:02:11(16位),03:12:54(17位),05:10:15(22位),07:22:36(13位),09:27:42(11位),14:05:29(8位),16:18:55(5位),18:10:22(5位),21:31:11(6位),23:14:56(7位),25:05:26(7位),07:15.30
7,8,2213,城　潔,うなぎいぬ新潟,02:03:26(19位),03:12:07(16位),05:01:18(13位),07:16:50(12位),09:20:21(10位),14:17:04(9位),16:59:41(9位),18:56:57(10位),22:15:20(11位),23:40:31(8位),25:19:08(8位),07:19.26
8,9,2240,高橋　裕子,,02:12:12(55位),03:29:43(53位),05:34:49(49位),07:51:29(37位),09:58:45(29位),15:22:03(29位),17:46:39(21位),19:32:59(16位),22:11:29(9位),23:43:59(9位),25:35:14(9位),07:23.92
9,10,2133,北野　卓,上大岡おやじの会,02:05:41(32位),03:19:22(30位),05:16:59(27位),07:34:39(22位),09:47:31(18位),14:27:22(11位),17:18:57(12位),19:12:17(12位),22:22:48(12位),23:56:12(10位),25:42:56(10位),07:26.15
10,11,2219,杉山　修,,02:13:13(64位),03:32:40(67位),05:33:25(46位),07:51:41(38位),10:02:40(30位),14:37:30(14位),17:06:41(10位),18:51:36(9位),22:13:13(10位),23:56:55(11位),26:14:25(11位),07:35.25
11,12,2209,清水　諒太,厚木大学TRC,02:18:20(103位),03:34:45(76位),05:43:25(66位),08:06:47(55位),10:15:37(42位),15:11:17(27位),17:54:13(22位),19:48:59(22位),22:49:11(13位),24:22:44(14位),26:18:33(12位),07:36.45
12,13,2082,大林　剛,,01:55:33(9位),03:00:13(5位),04:48:16(6位),06:53:22(6位),08:54:53(6位),13:39:30(6位),16:42:25(7位),18:37:39(8位),22:55:17(16位),24:23:29(15位),26:20:12(13位),07:36.92
13,14,2195,佐藤　真琴,,02:12:19(57位),03:25:44(42位),05:28:11(40位),07:47:36(33位),09:56:35(26位),14:51:11(16位),17:33:40(15位),19:36:15(20位),22:49:42(14位),24:22:21(13位),26:21:12(14位),07:37.21
14,15,2434,山影　智美,もんてびあ,02:15:47(74位),03:25:33(41位),05:23:09(34位),07:42:59(29位),09:57:50(28位),14:51:32(18位),17:42:30(20位),19:39:11(21位),22:56:46(17位),24:38:06(16位),26:29:13(15位),07:39.53
15,16,2330,長谷川　章,,02:03:42(21位),03:16:10(23位),05:15:08(25位),07:35:47(23位),09:50:50(21位),14:50:38(15位),17:29:35(14位),19:29:32(14位),23:01:41(19位),24:44:45(18位),26:30:51(16位),07:40.00
16,17,2142,熊谷　祐介,チキンハート,01:55:11(8位),03:04:18(9位),04:49:25(9位),07:06:22(9位),09:16:42(8位),13:54:48(7位),16:41:52(6位),18:36:53(7位),22:08:46(8位),24:22:10(12位),26:35:08(17位),07:41.24
17,18,2008,朝野　憲司,ユニバーサルＲＣ,02:04:32(26位),03:14:18(21位),05:05:07(17位),07:30:39(18位),09:35:52(15位),14:26:08(10位),17:26:31(13位),19:29:18(13位),22:51:40(15位),24:43:47(17位),26:39:31(18位),07:42.51
18,19,2001,青木　聖治,,02:20:40(138位),03:43:39(143位),05:51:22(89位),08:06:09(54位),10:13:05(38位),14:51:19(17位),17:34:58(16位),19:30:11(15位),23:03:42(20位),24:56:08(20位),27:10:40(19位),07:51.51
19,20,2448,山本　大成,小金井おじ練,02:01:42(15位),03:10:01(13位),05:02:33(14位),07:24:49(16位),09:35:03(14位),14:51:39(19位),17:39:48(19位),19:34:58(18位),23:08:32(21位),24:59:26(21位),27:15:30(20位),07:52.91
20,21,2310,中原　太一,,02:10:51(47位),03:23:53(37位),05:26:03(37位),07:53:37(40位),10:06:41(36位),15:01:06(23位),17:36:37(17位),19:35:18(19位),23:00:21(18位),24:49:10(19位),27:18:54(21位),07:53.89
21,22,2034,市川　智一,セルベサ軍団,02:03:33(20位),03:13:52(18位),05:07:09(18位),07:15:39(10位),09:19:35(9位),14:52:07(20位),17:38:47(18位),19:34:03(17位),23:11:18(22位),25:21:56(22位),27:51:44(22位),08:03.39
22,23,2453,横山　重宏,ラモンテAC,02:14:28(70位),03:34:24(75位),05:42:07(62位),08:07:22(56位),10:32:19(50位),15:58:09(39位),18:44:01(31位),20:41:22(27位),24:07:40(25位),26:02:17(25位),28:05:09(23位),08:07.27
